Publication Number,Title,Abstract,Claims
US7055171,Highly secure computer system architecture for a heterogeneous client environment,A method of securely connecting a plurality of client computers to computer resources in a shared computer system by extending client network domains around computer resources in the shared computer system. The network domains of different clients remain isolated from one another in the shared computer system. The method includes associating each of the plurality of client computers with at least one virtual private network connection. The plurality of client computers are remotely connected to at least one virtual private network termination device in the shared computer system. The at least one virtual private network connection is established by the at least one virtual private network termination device. The at least one virtual private network connection is associated with a plurality of virtual local area networks. At least one of the computer resources in the shared computer system is associated with each of the plurality of virtual local area networks. Each of the client computers is thus securely connected to at least one of the computer resources in the shared computer system.,"1. A method of securely connecting a plurality of client computers to computer resources in a shared computer system, comprising: 
associating each of said plurality of client computers with at least one virtual private network connection, wherein said plurality of client computers are remotely connected to at least one virtual private network termination device in said shared computer system, said shared computer system comprising an application service provider, and wherein said at least one virtual private network connection is established by said at least one virtual private network termination device;  
associating said at least one virtual private network connections with a plurality of virtual local area networks; and  
associating at least one of said computer resources in said shared computer system with each of said plurality of virtual local area networks, whereby a domain for each of said plurality of client computers is extended to include said computer resources in said application service provider and said plurality of client computer domains are isolated from each other within said application service provider."
US7056143,Electronic device having removable processor assembly and method of operating same,"An electronic device having a processor assembly. The electronic device comprising a first device connectable to the processor assembly a socket assembly adapted to receive the processor assembly, the socket assembly comprising an actuator operable to secure the processor assembly to the socket assembly; and a movable member adapted to prevent the actuator from being operated with the first device connected to the processor assembly An assembly for coupling a processor to an actuatable socket assembly. The assembly comprises a first member adapted to receive the processor and a second member movable relative to the first member. The second member is adapted to prevent the socket assembly from being actuated when the second member is disposed in a first position.","1. An electronic device, comprising: 
a processor assembly;  
a socket assembly adapted to receive the processor assembly, the socket assembly comprising an actuator operable to secure the processor assembly to the socket assembly; and  
a movable member adapted to prevent the actuator from being operated with a first device connected to the processor assembly."
US7057761,Systems and methods for activating confidential print jobs from a remote electronic device,"Systems and method for activating a confidential print job from a remote device. A printer receives a print job containing personal and/or confidential information together with an indication for the printer to hold, or defer, the print job until an activation command is received. The print job is not printed until the owner of the information transmits an activation command from a remote, portable electronic device. This insures that the owner of the information is present at the printer when the print job is printer. The owner of the information is thus assured that no person other than the owner will receive the information.","1. An electronic appliance, comprising: 
a plurality of alphanumeric keys;  
an input module configured to receive input from one or more of the alphanumeric keys;  
a print module configured to receive a deferred print command from the alphanumeric keys via the input module, and formulate a print job to send to a printer;  
a transmitter configured to transmit the print job to the printer; and  
wherein the print job includes an indication to the printer to hold the print job until a print job activation command is received from the electronic appliance."
US7058734,Variable-function or multi-function apparatus and methods,"An apparatus capable of interacting with another device, includes: a module configured to provide a functionality, where the apparatus is configurable to support a second module for providing an additional functionality in order to permit variable functionality by the apparatus. The functionality may relate to an input-function and/or an output function. A method of providing functionality in a variable-function device, includes: removing a functionality from another device that can communicate with the variable-function device; and providing the removed functionality in the variable-function device.","1. A method of providing functionality in a variable-function device, the method comprising: 
detecting for an event, wherein the detecting is performed by a computer and wherein the event comprises a notification that can be detected by the computer;  
in response to the detecting of the event, determining if event-related content, which is related to the event, should be generated via a variable function device;  
in response to the determining step, if the event-related content should be generated by the variable function device, then generating the event-related content via an output stage of the variable-function device, wherein the event-related content from the output stage of the variable-function device comprises an image, a notification, an audio sound, or another output; and  
in response to the determining step, if the event-related content is not generated via the variable-function device, then generating the event-related content via an output stage of the computer, wherein the output stage of the computer includes a screen of the computer, and wherein the event-related content from the output stage of the computer comprises an image, a notification, an audio sound, or another output."
US7061899,Method and apparatus for providing network security,"An apparatus and a method are provided for performing network routing. The present invention comprises authentication logic, decision logic and routing logic. The authentication logic is configured to receive packets sent from a source agent to a tunnel endpoint and to determine whether or not the security association corresponds to the source agent that configured the tunnel. The decision logic makes a routing decision that is constrained based on the security association of an authenticated. The routing logic then selects a routing destination for the authenticated packet that is based at least partially on the routing decision made by the decision.","1. An apparatus for performing network routing, the apparatus comprising: 
authentication logic configured to receive packets sent from a source agent to an endpoint of a tunnel and to determine whether a security association of a packet received corresponds to said source agent, the tunnel being configured by said source agent in accordance with a network protocol;  
decision logic configured to make a routing decision for each authenticated packet at least in part without regard to contents of a payload of the packet, the routing decision being based on the security association of the authenticated packet; and  
routing logic configured to select a routing destination for each authenticated packet and to route the authenticated packet to the selected routing destination, the routing destination selection being based at least partially on said routing decision."
US7062065,Anti-counterfeiting method and system,"An anti-counterfeiting system and method modifies the data within a first data set having data in a first data arrangement to create a second data arrangement for the first data set, determines whether data on an object is consistent with the data of the first or second data arrangement for the first data set, and accepts the object if the data on the object is determined to be consistent with the data of the first or second data arrangement for the first data set, else rejects the object.","1. An anti-counterfeiting method, comprising: 
creating from an object a first data set having data in a first data arrangement;  
modifying the data within said first data set to create a second data arrangement for said first data set;  
determining whether data on an object presented for validation is consistent with the data of the first or second data arrangement for said first data set by comparing said object presented for validation to both said first and said second data arrangements; and  
if the data on said object presented for validation is determined to be consistent with the data of the first or second data arrangement for said first data set, accepting said object presented for validation, else rejecting said object presented for validation."
US7064765,System and method for grabbing frames of graphical data,"A frame-grabbing system in accordance with an exemplary embodiment of the present invention comprises a frame buffer, a graphics adapter, video output interface and logic. The graphics adapter is configured to receive graphics commands from a graphics application and to render graphical data from the graphics commands to the frame buffer. The video output interface is configured to read the frame buffer and to transmit a video data signal based on graphical data stored in the frame buffer. The logic is configured to perform, in response to a frame grab request, a frame grab of an image frame based on the video data signal, the frame defined by the graphical data stored in the frame buffer. The logic is further configured to prevent, in response to the frame grab request, the graphics adapter from updating the frame buffer during the frame grab.","1. A frame-grabbing system, comprising: 
a frame buffer;  
a graphics adapter configured to receive graphics commands from a graphics application and to render graphical data from the graphics commands to the frame buffer;  
video output interface configured to read the frame buffer and to transmit a video data signal based on graphical data stored in the frame buffer; and  
logic configured to perform, in response to a frame grab request, a frame grab of an image frame based on the video data signal, the image frame defined by the graphical data stored in the frame buffer, the logic further configured to prevent, in response to the frame grab request, the graphics adapter from updating the frame buffer during the frame grab."
US7064853,Document printing system,"A printing system that includes a personal computer, a primary printer and an alternate printer is described. The primary printer and the alternate printer each include an embedded Web Server. The primary printer can serve a first program to the personal computer upon request. The first program enables the computer to use the primary printer to print a document. In addition, the first program enables the computer to display a hyperlink referring to a second program if the primary printer fails to successfully print the document. The second program enables the computer to print the document using the alternate printer.","1. In a computer, a method of printing a document, comprising: 
(a) initiating the printing of the document by a first printer;  
(b) detecting that the first printer has encountered an event; and  
(c) automatically displaying a selectable link referring to a network resource that enables the computer to print at least a portion of the document using a second printer;  
wherein step (c) is automatically performed in response to step (b);  
wherein the event occurs while the first printer is printing the document;  
wherein the event is an error condition that results in the first printer not printing a portion of the document;  
wherein the link is a hyperlink and the resource is Web content provided by a remote server."
US7065497,Document delivery system for automatically printing a document on a printing device,"A document is operatively coupled to a printing device, either directly or through a network such as the Internet. A print schedule is stored that keeps track of when a document should be printed on the printing device. When the print schedule indicates the document should be printed, the document is automatically transmitted to the printing device without user intervention. The printing device automatically prints the document, again without user intervention. The document can be stored on a electronic device, such as a personal computer connected to the printing device, or can be stored on a document server accessible to the printing device through the Internet. A user profile is stored that contains information about the recipient of the document, such as name, email address, household income, and interests. This user profile is updated when a document is printed on the printing device. This user profile can be used to select specific information of interest to the user to be included in a personalized document. Since advertising can also be included in the document, the user profile can also be used to select advertising likely to be of interest to the user to be included in the personalized document. A product can be subsidized for a user, based on the information contained in the user profile. For example, if a user profile indicates that a specific user has printed a specific number of ""preferred"" documents, such as those documents containing advertising or otherwise under the control of the document delivery system, a product such as a print consumable, such as an inkjet cartridge or a laser toner cartridge, can automatically be sent to the user. Likewise, printable media such as paper can also automatically be sent to user. Alternatively, coupons for free or discounted products such as those described above can be mailed, sent electronically, or otherwise distributed to the user.","1. In a document delivery system having a document capable of being operatively coupled to a printing device, a method of printing the document on the printing device comprising the steps of: 
storing a print schedule with an indication that the document should be printed at a user requested time;  
automatically requesting, without user intervention, the document based on the print schedule;  
transmitting the document to the printing device; and  
causing automatic printing, without user intervention, the document on the printing device."
US7065544,System and method for detecting repetitions in a multimedia stream,"Large amounts of multimedia data are transmitted over information networks in the form of a digital stream, analog video, or text captioning. Often, repetitions such as paid advertisements, theme music at the commencement of a TV broadcast, and common jingles and slogans occur in these streams. Detection of repetitions in a transmitted signal such as streaming audio or video is described, and includes extracting a plurality of samples from the information stream and accumulating the samples into segments comprising an interval of the transmitted signal. A vector indicative of the samples in each of the segments is generated, and each of the vectors in the segments is correlated to generate a covariance matrix, or signature, corresponding to the segment. Each of the covariance matrices are aggregated into a sequence of covariance matrices and compared to other covariance matrices to generate a distance matrix. The distance matrix includes a distance value, indicative of the similarity between the distance matrices, as a result of the comparing of each matrix. The distance matrix is then traversed to determine similar sequences of covariance matrices.","1. A method of matching sequences of signals from an information stream comprising: 
extracting a stream of samples from a subject information stream, each of the extracted samples comprising a portion of the information stream;  
computing, for each of the samples, a vector quantity indicative of the data in the sample;  
correlating the vectors to generate a signature indicative of the stream of samples;  
comparing the generated signatures to signatures generated from a match stream of samples using a distance metric to generate distance values;  
generating, as a result of the comparing, a distance matrix containing entries of the distance values and indicative of signatures generated from similar samples;  
traversing the distance matrix to determine if a similar distance value sequence is found;  
querying, when a similar distance value sequence is found in the distance matrix, a library of previously found distance value sequences;  
storing the distance value sequence in the library if a match is not found as a result of the querying;  
updating, if a match is found as a result of the querying, a timestamp corresponding to the matching distance value sequence in the library;  
traversing the distance value sequences in the library;  
examining each of the timestamps of the distance value sequences; and  
purging, when the timestamp is beyond a predetermined threshold, the distance value sequence corresponding to the timestamp."
US7065556,Method and system for logging event data and persistently downloading the same,"A method and system for logging event data from at least one operable application program or at least one peripheral device operably connected to a server using a log manager device driver. The method includes the steps of registering the log manager device driver with the server to receive all the event data from the server, registering the log manager device driver with the server as a log manager file, the log manager device driver receiving the event data, and the log manager device driver responding to a download request for said log manager file from a requesting computer.","1. A method for logging event data from at least one operable application program resident on a plurality of computers or at least one peripheral device operatively connected in a network to a server using a log manager device driver, the logged event data comprising a log manager file having events of the type which relate to completions, connections, processes, terminations, status changes, errors and warnings that can be used to perform network diagnostics and troubleshooting, said method comprising the steps of: 
registering said log manager device driver with said server to receive all incoming event data from the computers or at least one peripheral device;  
registering said log manager device driver with said server as a device driver for said log manager file;  
receiving said event data by said log manager device driver; and,  
responding to a download request for said log manager file from any requesting one of said plurality of computers by said log manager device driver so that said requesting computer can persistently receive the event data as the server continues its operation and new data comes in, wherein the connection is terminated only by closing the log manager file."
US7069439,Computing apparatus and methods using secure authentication arrangements,"Computing apparatus comprises a memory means storing the instructions of a secure process and an authentication process; a processing means arranged to control the operation of the computing apparatus including by executing the secure process and the authentication process; a user interface means arranged to receive user input and return to the user input; and an interface means for receiving a removable primary token and communication with the token. The token comprises a body supporting a token interface for communicating with the interface means, a token processor; and a token memory adapted to store token data including information for identifying the token and auxiliary token information identifying one or more authorized auxiliary tokens. The processing means is arranged to receive the identity information and the auxiliary token information from the primary token, to authenticate the toke using the authentication process and, if the token is successfully authenticated, permit a user to interact with the secure process via the user interface means. The processing means is arranged to repeatedly authenticate the primary toke and cause the computing platform to suspend interaction between the secure process and the user if authentication is not possible as a result of the removal of the primary token unless the primary token is replaced by an authorized auxiliary token.","1. Computing apparatus comprising: 
memory means storing the instructions of a secure process and an authentication process;  
processing means arranged to control the operation of the computing apparatus including by executing the secure process and the authentication process;  
user interface means arranged to receive user input and return to the user information generated by the processing means in response to the user input; and  
interface means for receiving a removable primary token and communicating with the token, the token comprising a body supporting:  
a token interface for communicating with the interface means;  
a token processor; and  
token memory storing token data including identity information for identifying the token and auxiliary token information identifying one or more authorised auxiliary tokens,  
wherein the processing means is arranged to receive the identity information and the auxiliary token information from the primary token, authenticate the token using the authentication process and, if the token is successfully authenticated, permit a user to interact with the secure process via the user interface means,  
and wherein the processing means is arranged to repeatedly authenticate the primary token and cause the computing platform to suspend interaction between the secure process and the user if authentication is not possible as a result of the removal of the primary token unless the primary token is replaced by an authorised auxiliary token identified by said auxiliary token information."
US7073131,Group composition store,"A system for web based imaging comprising: at least one graphic store for storing a plurality of different graphics; a group composition store for storing a plurality of compositions, with each different composition referencing at least one graphic in a graphic store that is external to the group composition store and including data to place the referenced graphic within the composition; and a plurality of different user profiles, each for a different imaging client, with each user profile including a reference to the group composition store.","1. A system for web based imaging comprising: 
at least one graphic store for storing a plurality of different graphics;  
a networked and autonomous group composition store for storing and providing imaging clients access to a plurality of compositions, with each different composition referencing at least one graphic in the at least one graphic store that is external to the group composition store and including information on a placement of each referenced graphic on a canvas, wherein at least two of the compositions reference the same graphic in the same graphic store without duplicating the graphic; and  
a plurality of different user profiles that are accessed from at least one user profile store, each for a different imaging client, with each user profile including a reference to the group composition store, wherein the profile store is networked and autonomous."
US7073916,Key for use in low light conditions,"A key, which may be used in a user interface, including indicia formed at least in part from phosphorescent material.","1. A device, comprising: 
a housing; and  
a user interface, associated with the housing, including a plurality of keys, at least one of the keys defining an overall key volume and including a volume of phosphorescent key body material, which defines a surface, and a volume of substantially opaque material, associated with the surface of the phosphorescent key body material, having at least one inner boundary surface that defines an open region in the shape of a predetermined character, the volume of the substantially opaque material being substantially less than the volume of the phosphorescent key body material."
US7075460,Methods for scaling encoded data without requiring knowledge of the encoding scheme,"Methods for scaling (e.g., transcoding) data are described. A sequence of encoded data is accessed. The encoded data are organized according to an encoding scheme that was used to encode the data. A value for a scalable attribute is ascertained. The scalable attribute identifies how the encoded data are to be scaled. A reference to segments of encoded data associated with the scalable attribute is accessed. The reference is beyond the syntax of the encoding scheme. The reference is used to locate the segments in the sequence of encoded data. The segments are found without requiring knowledge by the device of the encoding scheme. A scaled version of the encoded data is created using the segments.","1. A method used by a device to scale data, said method comprising: 
accessing a sequence of encoded data, said encoded data organized according to an encoding scheme that was used to encode said data;  
determining a value for a scalable attribute, said scalable attribute identifying how said encoded data are to be scaled;  
accessing information comprising a reference to segments of said encoded data that are associated with said scalable attribute, said reference beyond the syntax of said encoding scheme;  
using said information to locate said segments in said encoded data, wherein said segments are found without requiring knowledge by said device of said encoding scheme; and  
creating a scaled version of said encoded data using said segments."
US7076518,System and method for linking a web server in a peripheral to a network through a host,"A system and method are provided in a host and in a peripheral for providing network access to a web server in the peripheral device, where the peripheral device is locally coupled to the host. The web server in the peripheral includes web pages that provide access to the control functions of the peripheral. Users may access the control functions of the peripheral through the use of a browser, thereby avoiding the need for special control access software. In one embodiment, the system includes a processor coupled to a local interface and a memory coupled to the local interface. The system also includes listener logic stored on the memory and executable by the processor. The listener logic comprises logic to identify a request from a client received by the host via a network to be forwarded to the web server located on the peripheral device locally coupled to the host, logic to forward the request to the web server on the peripheral device, and logic to transmit a response received from the web server to the client.","1. A method for providing network access to a web server in a peripheral device, comprising the steps of: 
identifying a request from a client received by a host via a network to be forwarded to the web server located on the peripheral device locally coupled to the host;  
forwarding the request from the host to the web server located on the peripheral device;  
transmitting a response to the request from the web server located in the peripheral device to the host; and  
transmitting the response from the host to the client."
US7079008,Proximity transaction control method,"Embodiments enable controlling a proximity transaction between first and second communications devices, each of which is provided with a short-range transceiver. In an exemplary embodiment, the first communications device has an RF/ID reader, and the second communications device has an RF/ID tag, the RF/ID tag containing the same identifier information as the second communications device. The second communications device is positioned within the range of the reader of the first communications device. Then, the transceiver of the second communications device transmits a transaction request and the identifies information of that device to the first communications device. The reader of the first communications device then interrogates the tag of the second communications device and the transaction is completed upon the reader of the first communications device receiving identifier information from the tag of the second communications device that is identical to the identifier information already received.","1. A method of controlling a proximity transaction between first and second communications devices, each of which is provided with a short-range transceiver, the first communications device having an ID reader, and the second communications device having identifier information specific to that device and an ID tag, the ID tag containing the same identifier information as the second communications device, the method comprising the steps of: 
a) using the transceiver of the second communications device to transmit both a transaction request and the identifier information of that device to the first communications device;  
b) using the reader of the first communications device to interrogate the tag of the second communications device; and  
c) completing the transaction upon the reader of the first communications device receiving identifier information from the tag of the second communications device that is identical to the identifier information received in step a)."
US7081882,Document viewing device,"A document display device, comprising a memory arranged to store a document in the form of a sequence of pages; a display arranged to provide a user view of pages from the sequence; at least one user input device; a processor responsive to the at least one user input device to change the user view of the sequence of pages wherein the processor is arranged to allow reference markers to be associated with a page by a predetermined first input to the input device and further arranged such that a page associated with the reference marker can be at least partially displayed by a further predetermined input to the input device. Such an arrangement allows one or more pages to marked as a block of pages, and the device allows a user to refer back to the pages at either end of the block.","1. A document display device, comprising: 
a memory and arranged to store a document in the form of a sequence of pages;  
a display capable of displaying said document and ranged to provide a user view of pages from said sequence;  
at least one user input device capable of receiving user inputs and of generating a signal based on said inputs; and  
a processor responsive to said signal and being:  
arranged to respond to said signal by changing said user view of said sequence of pages;  
arranged to associate at least one reference marker with a page by a predetermined first input to said at least one input device;  
arranged such that a page associated with said reference marker can be at least partially displayed by a second predetermined input to the input device;  
capable of determining a rate of change of said co-ordinates; and  
ranged to introduce a reference marker when a first input having substantially no change in said co-ordinates with respect to time is made to said at least one input device."
US7082549,Method for fault tolerant updating of an electronic device,"Methods for updating an electronic device having a non-volatile memory are disclosed. An embodiment of the present invention may permit the update of an electronic device from a first code version to a second code version using a fault-tolerant, bank-by-bank method. An update package comprising update instructions may be received via a public and/or wireless network, and the update instructions may be used to convert the first code version to the second code version. The bank order of the conversion may be specified in the update package, and may be non-sequential.","1. A method of updating an electronic device comprising a non-volatile memory having a plurality of banks containing a first code version, the method comprising: 
(a) selecting one of the plurality of banks;  
(b) duplicating the selected bank to a working bank;  
(c) copying the selected bank to a backup bank;  
(d) converting the contents of the working bank from the first code version to a second code version;  
(e) moving the converted working bank to the selected bank;  
(f) verifying the successful completion of at least one of the duplicating, the copying, and the converting using at least one of a cyclic redundancy check, a message digest, a digital signature, and a checksum; and  
(g) repeating (a) through (f) until each of the plurality of banks has been updated."
US7085807,System and method for providing links to available services over a local network by a thin portal service configured to access imaging data stored in a personal imaging repository,"A system and method for providing links to services available to an operably connected local computer over a network. The present invention includes a thin portal service for finding services available to the local computer, a thin portal service web content created by the thin portal service for returning links to the discovered available services, and a web browser installed on the local computer for displaying the thin portal service content.","1. A method for providing links to services that are available on a local network, the method comprising: 
receiving a request for web content;  
querying the local network for information about a current environment, including checking for devices that are connected to the local network;  
checking for services that are available on the local network by a thin portal service, wherein checking for services comprises checking for services that are available on the local network that are configured to access imaging data stored in a personal imaging repository of a user; and  
creating web content for a network browser, the web content includig at least one link to at least one of said services that is available on the local network;  
wherein said web content provides said services to the user within said current environment without prior configuration of said services on a user computer."
US7092969,Management of source and derivative image data,"A method and apparatus for managing source and derivative data is disclosed. Source data, typically image data, is centralized in a database and derivative data sets are formed from the source data. When it is desired to modify a derivative data, the source data can be accessed and modified to form a new derivative data set instead of modifying the already derived data set. In this way source data integrity is maintained. Derivative data sets are identified and tags are associated with new derivative images. The tag can be embedded in the derivative data or associated with the image as an attached element. The tag identifies information such as the server that generated the derivative image, the source image and any tasks or transformations that were applied to the source image to generate the derivative data. Users of source data can be given access to a central source data repository and access privileges can be assigned. In this way a number of users can access the source files and globally modify all derivative images by changes in the source file.","1. A data management system, comprising: 
a source image data (SID) database containing at least one source image data (SlD) set;  
a processing engine adapted perform a first process to apply a sequence of one or more computationally deterministic transformations to the SID set to produce at least one derivative image data (DID) set, to generate an identifier associated with the produced DID set, and to embed the associated identifier within each produced DID set;  
a derivative image data (DID) database containing a record of the sequence of transformations for each DID set and all parameters describing each of the transformations;  
wherein the embedded identifier comprises means for locating the stored SID set at the DID database and means for retrieving the sequence of transformations and all the parameters describing each of the transformations from the DID database; and  
a second process adapted to use the embedded identifier to retrieve the SID set and the transformation sequence stored in the DID database and reinitiate the first process to generate additional DID for the DID set;  
wherein the SID set used in the reinitiated process comprises any of the original SID set and at least one alternate version of the original SID set; and  
wherein each of the one or more computationally deterministic transformations used in the transformation sequence applied to the SID set in the reinitiated process comprises any of the corresponding original computationally deterministic transformations and at least one alternate version of the corresponding original computationally deterministic transformations."
US7093007,"Identifying a physical device's avatar using a unique, substantially non-removable communication identifier","The present invention provides a system and method for automatically linking a physical device and a predetermined associated virtual device to provide the physical device with access to at least one service. The method includes the steps of: manufacturing the physical device that is associated with the predetermined virtual device and attaching, to the physical device, a substantially unremovable communication identifier for communicating with the predetermined virtual device. The communication identifier typically facilitates communication over an information space such as the Internet.","1. A method for providing for automatic linking of a physical device and a predetermined associated virtual device, comprising the steps of: 
manufacturing the physical device that is associated with the predetermined virtual device;  
attaching to the physical device a substantially unremovable communication identifier for communicating with the predetermined virtual; and  
automatically providing to a user updated documentation about, and updated services available for, the physical device through the virtual device."
US7093019,Method and apparatus for providing an automated login process,"An automated login process is provided for a user connecting to a first server of multiple servers that are connected via a computer network. The server receives a connection to the user via a client data terminal, receives an identifier associated with a second server of the multiple servers, and authenticates the user based on the identifier.","1. A method for providing an automated login for a user connecting to a server, wherein the server comprises a first server of a plurality of servers that are connected via a computer network, the method comprising steps of: 
receiving a connection to the user via a client data terminal;  
accessing the first server by the user after being authenticated;  
selecting from the first server a computer input mark to a second server and assigning a first identifier and underlying second identifier associated with the first server of the computer input mark;  
accessing the services of the second server from the user and based on the received identifiers if both identifiers are authenticated; and  
authenticating, without the use of cookie, the user and the first server based on the first and second identifiers and allowing access to the second server by linking the user to the second server through the first server and without requesting a cookie from the client if both identifiers are authenticated to eliminate the need for the user to provide separate login information and to eliminate the use of cookies when connecting to the second server via the input mark."
US7094059,Connector and apparatus including the same,A connector for mechanically and electrically connecting devices such that the devices can pivot about two different axes relative to one another.,"1. A connector, comprising: 
a first member including an electrical contact and pivotable about a first axis; and  
a second member including an electrical contact and pivotable about a second axis that is non-coaxial with the first axis;  
the first member electrical contact and the second member electrical contact defining separate structural elements;  
the first and second members being mechanically connected to one another such that the first member electrical contact and the second member electrical contact will be in close enough proximity to one another that a direct electrical connection will be maintained between the first member electrical contact and the second member electrical contact as the first member pivots about the first axis and the second member pivots about the second axis."
US7096120,Method and arrangement for guiding a user along a target path,"An audio-based guide arrangement is provided for guiding a user along a target path by the use of virtual audio beacons. The user's current location is sensed and compared to the target path. Sounds are fed to the user, for example through stereo headphones, to simulate one or more audio beacons appearing to be located in a direction at least approximating the direction of the target path onward from the user's current position. Preferably, each successive location of the audio beacon is determined by determining a segment onward from the user's current position of a piecewise linear approximation to the target path, and setting the apparent location of the beacon at or relative to the end of this segment.","1. An arrangement for guiding a user along a target path, the arrangement comprising: 
user-location determining means for determining the position of the user relative to the target path;  
beacon-location determining means for determining locations at which to position multiple virtual audio beacons such that the audio beacons together form a succession of beacons with each beacon being successively further down said target path onward from the user; and  
audio-beacon means comprising audio output devices carried by the user for rendering virtual audio beacons at the locations determined by the beacon-location determining means."
US7096265,System and method for intelligent routing of tasks across a distributed network,"An improved system and method for recommending a service are disclosed. A data translation system may comprise a server and a computing device. In preferred embodiments, executable logic and descriptors reflective of data designated for transformation by a hard-copy generation device and in response to the logic recommends a suitable service for completing the transformation. A method for intelligently routing hard-copy generation tasks, can be summarized by the following steps: accessing imaging service data; accessing imaging data; recommending at least one capable service; and initiating a hard-copy generation request.","1. A method for intelligently routing hard-copy generation tasks, comprising: 
accessing imaging service data from a network connected computing device;  
accessing imaging data from at least one store, via the network and using an imaging extension, to generate at least one criterion; and  
recommending at least one hard-copy generation service capable of performing a particular hard-copy generation task matching the at least one criterion,  
wherein recommending comprises presenting a plurality of user selectable destinations; and  
wherein the at least one criterion identifies a parameter range comprising a measure of color information."
US7096391,Error message suppression system and method,"The disclosed embodiments relate to a system and method for message suppression. The system comprises a memory that is adapted to store a data element corresponding to a failure notification and to store a corresponding timestamp. Also included in the system is an interface adapted to receive the failure notification, create the corresponding timestamp, store the data element and the timestamp corresponding to the failure notification in the memory, send a message corresponding to the failure notification, suppress the sending of subsequent messages corresponding to the failure notification until a predetermined condition occurs, receive a notification to cancel the suppression of subsequent messages corresponding to the failure notification, and send subsequent messages corresponding to the failure notification in response to failure notifications received after the notification to cancel the suppression of subsequent messages.","1. A system for message suppression, the system comprising: 
a memory that is adapted to store a data element corresponding to a failure notification and to store a corresponding timestamp; and  
an interface adapted to:  
receive the failure notification;  
create the corresponding timestamp;  
store the data element and the timestamp corresponding to the failure notification in the memory;  
send a message corresponding to the failure notification;  
suppress the sending of subsequent messages corresponding to the failure notification until a predetermined condition occurs; and  
receive a notification to cancel the suppression of subsequent messages corresponding to the failure notification; and  
send subsequent messages corresponding to the failure notification in response to failure notifications received after the notification to cancel the suppression of subsequent messages."
